"css-175oi2r href","css-9pa8cd src","css-1jxf684","css-1jxf684 2","css-1jxf684 3","css-146c3p1 href","css-146c3p1","css-1jxf684 4","css-1jxf684 5","css-1jxf684 6","css-1jxf684 7","css-175oi2r href 4","css-1jxf684 8","css-1jxf684 9","css-1jxf684 href","css-1jxf684 10","css-1jxf684 12","css-1jxf684 13","css-1jxf684 15","css-146c3p1 2","css-1jxf684 href 2","css-1jxf684 16","r-4qtqp9 src 3","r-4qtqp9 href"
"https://x.com/nasri_725","https://pbs.twimg.com/profile_images/1080001717452722176/7TtGE0We_normal.jpg","rumah kontrakan","@nasri_725","·","https://x.com/nasri_725/status/2052436249819181092","May 8","","sinyal","lu sekarang jelek banget dimana2","2","https://x.com/nasri_725/status/2052436249819181092/analytics","81","@Telkomsel","https://x.com/Telkomsel","","","","","","","","",""
"https://x.com/mrs_jeona","https://pbs.twimg.com/profile_images/1985674451770621953/ifSSBL8t_normal.jpg","hero_0","@mrs_jeona","·","https://x.com/mrs_jeona/status/2052420353591488619","May 7","Telkomsel","sinyal","makin jelek, 100 ribu cuma dapet 13 gb","1","https://x.com/mrs_jeona/status/2052420353591488619/analytics","28","","","udah mah","","","","","","","",""
"https://x.com/roseestart","https://pbs.twimg.com/profile_images/2050911294002450432/bfxf-2Iq_normal.jpg","tata|going sms 6","@roseestart","·","https://x.com/roseestart/status/2052655510906937680","11h","Sinyal","telkomsel","kalo mati listrik bapuk banget astaga mana kuota mahal pretttt","1","https://x.com/roseestart/status/2052655510906937680/analytics","103","","","","","","","","","","",""
"https://x.com/saturglads","https://pbs.twimg.com/profile_images/2045447206275371009/A61xWeML_normal.jpg","S E N D Y","@saturglads","·","https://x.com/saturglads/status/2052468050813915594","23h","sinyal","Telkomsel","","1","https://x.com/saturglads/status/2052468050813915594/analytics","58","","","Malam Jumat di tambah","down kacau dah","","","","","","",""
"https://x.com/ANFIkude","https://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png","Halim Steven","@ANFIkude","·","https://x.com/ANFIkude/status/2052262997129912412","May 7","Telkomsel","sinyal","kagak jelas banget anjing dah gua main tiba2 merah","1","https://x.com/ANFIkude/status/2052262997129912412/analytics","69","","","Ayolah","kampang asula nianla kagak diperbaiki mulu tuh","asu","","","","","",""
"https://x.com/Sharelokdongs","https://pbs.twimg.com/profile_images/2007150810996846593/i0htJHJK_normal.jpg","Ponstan uhuy","@Sharelokdongs","·","https://x.com/Sharelokdongs/status/2052739083097808909","6h","Telkomsel","sinyal","nya busukkkk","1","https://x.com/Sharelokdongs/status/2052739083097808909/analytics","193","@Telkomsel","https://x.com/Telkomsel","anjing gak jelass taiii","","","","","","","",""
"https://x.com/gagascipta","https://pbs.twimg.com/profile_images/1910701919238246400/Flstxvt2_normal.jpg","Gagas","@gagascipta","·","https://x.com/gagascipta/status/2052659231799828762","11h","Sinyal","","buruk padahal di Kota","","https://x.com/gagascipta/status/2052659231799828762/analytics","16","@Telkomsel","https://x.com/Telkomsel","","","","","","","","",""
"https://x.com/ibuyyubii","https://pbs.twimg.com/profile_images/2046989049299435520/Hqo0e8___normal.jpg","sala.","@ibuyyubii","·","https://x.com/ibuyyubii/status/2050206284281262324","May 1","","sinyal","","1","https://x.com/ibuyyubii/status/2050206284281262324/analytics","111","@Telkomsel","https://x.com/Telkomsel","paketan doang mahal","sering nge lag. busukkk!!","","","","","","",""
"https://x.com/dlwlrma__Xborg","https://pbs.twimg.com/profile_images/2043362236996190208/G6YiuLta_normal.jpg","onew imnida","@dlwlrma__Xborg","·","https://x.com/dlwlrma__Xborg/status/2052391743296029095","May 7","Telkomsel","sinyal","1 batang doang!! Kemahalan","1","https://x.com/dlwlrma__Xborg/status/2052391743296029095/analytics","340","","","jelek banget.. bulan depan gua ganti internet! Beli kuota mahal2 28 hari tapi","jelek","","","","","","",""
"https://x.com/dulkucinglucu","https://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png","dulkucingimut","@dulkucinglucu","·","https://x.com/dulkucinglucu/status/2052419087402496233","May 7","","sinyal","5G, tapi chat di wa kaga bisa. buka tiktok kaga bisa. instagram apalagi. ini gue buka X pake wifi karena","1","https://x.com/dulkucinglucu/status/2052419087402496233/analytics","89","@Telkomsel","https://x.com/Telkomsel","KENAPA LU MALEM INI?","butut lu kaga ada. stresssssssss","","","","","","",""
