"css-175oi2r href","css-9pa8cd src","css-1jxf684","r-4qtqp9 src","css-1jxf684 2","css-1jxf684 3","css-146c3p1 href","css-146c3p1","css-1jxf684 4","css-1jxf684 5","css-1jxf684 6","css-1jxf684 7","css-175oi2r href 4","css-1jxf684 8","r-4qtqp9 src 2","css-1jxf684 9","css-1jxf684 10","r-4qtqp9 src 3","css-1jxf684 11","css-1jxf684 12","css-146c3p1 2","css-1jxf684 href 4","css-1jxf684 14","css-9pa8cd src 3","r-1p0dtai src"
"https://x.com/reoasy","https://pbs.twimg.com/profile_images/1967524716274696193/7zJAOwji_normal.jpg","kilaaaa indosat","","@reoasy","·","https://x.com/reoasy/status/2052709586189320611","8h","Anjirrrr serius wkwkwkkkwkw","0:03 / 0:34","#TransitLove4","","https://x.com/reoasy/status/2052709586189320611/analytics","11","","","","https://abs.twimg.com/emoji/v2/svg/1f352.svg","","","9h","","Quote","https://pbs.twimg.com/profile_images/1548715633525035008/IQ-DgiLl_mini.jpg","blob:https://x.com/b07cc560-e581-4392-b900-88e45a90c612"
"https://x.com/sbiruw","https://pbs.twimg.com/profile_images/2049066528910561280/p5rg8_il_normal.jpg","biru","https://abs.twimg.com/emoji/v2/svg/1f5ef.svg","@sbiruw","·","https://x.com/sbiruw/status/2050919164060254372","May 3","ini sw-nya sungchan","indosat","nih","1","https://x.com/sbiruw/status/2050919164060254372/analytics","136","","2","binya bolu amanda ver.","https://abs.twimg.com/emoji/v2/svg/1f62d.svg","Fan account","miy","May 3","","Quote","","blob:https://x.com/2e5eea9a-bf82-4dd6-90ba-68a8ccea0903"
"https://x.com/indosat","https://pbs.twimg.com/profile_images/2039626569426317312/ufIaht8Q_normal.jpg","Indosat Ooredoo Hutchison","","@indosat","·","https://x.com/indosat/status/2051025264608420284","May 4","Hai Kak, maaf sebelumnya. Agar bisa dicek lebih lanjut, mohon bisa infokan ke DM nomor IM3nya ya. Terima kasih.^Ayyu","","","1","https://x.com/indosat/status/2051025264608420284/analytics","40","","1","","","","","Replying to","https://x.com/Jokotole24","@Jokotole24","",""
"https://x.com/keedehara","https://pbs.twimg.com/profile_images/2046560763763212288/F6x6RyhX_normal.jpg","Kirara Indosat","https://abs.twimg.com/emoji/v2/svg/1f408-200d-2b1b.svg","@keedehara","·","https://x.com/keedehara/status/2050927231183229058","May 3","et hrus paket lengkap yh","","","1","https://x.com/keedehara/status/2050927231183229058/analytics","34","","1","","","","","Replying to","https://x.com/staykidsky","@staykidsky","",""
"https://x.com/keedehara","https://pbs.twimg.com/profile_images/2046560763763212288/F6x6RyhX_normal.jpg","Kirara Indosat","https://abs.twimg.com/emoji/v2/svg/1f408-200d-2b1b.svg","@keedehara","·","https://x.com/keedehara/status/2052686277582237920","9h","lesgo ayaawww","","","","https://x.com/keedehara/status/2052686277582237920/analytics","7","","","","","","","Replying to","https://x.com/bmsenaya","@bmsenaya","",""
"https://x.com/si_sukajajan","https://pbs.twimg.com/profile_images/1876461145164529664/JZ582iod_normal.jpg","apin 2 (indosat)","","@si_sukajajan","·","https://x.com/si_sukajajan/status/2052390467548184998","May 7","kasih soto lamongan sama sop buntut gue yakin juga demen","","","2","https://x.com/si_sukajajan/status/2052390467548184998/analytics","76","","","","","","","Replying to","https://x.com/takiyyakii","@takiyyakii","",""
"https://x.com/kyeomiigf","https://pbs.twimg.com/profile_images/1836287825995796481/lKaJRWMa_normal.jpg","moudy","https://abs.twimg.com/emoji/v2/svg/1f98b.svg","@kyeomiigf","·","https://x.com/kyeomiigf/status/2051455864826196045","May 5","WTB kuota","indosat","","4","https://x.com/kyeomiigf/status/2051455864826196045/analytics","345","","1","| semi rest","","","#zonauang","","","","",""
"https://x.com/sbiruw","https://pbs.twimg.com/profile_images/2049066528910561280/p5rg8_il_normal.jpg","biru","https://abs.twimg.com/emoji/v2/svg/1f5ef.svg","@sbiruw","·","https://x.com/sbiruw/status/2050919164060254372","May 3","ini sw-nya sungchan","indosat","nih","1","https://x.com/sbiruw/status/2050919164060254372/analytics","136","","2","binya bolu amanda ver.","https://abs.twimg.com/emoji/v2/svg/1f62d.svg","Fan account","miy","May 3","","Quote","","blob:https://x.com/2e5eea9a-bf82-4dd6-90ba-68a8ccea0903"
"https://x.com/mhuseinali","https://pbs.twimg.com/profile_images/2051696402544340992/BU-LBo_e_normal.jpg","Ali","https://abs.twimg.com/emoji/v2/svg/1f44a-1f3fb.svg","@mhuseinali","·","https://x.com/mhuseinali/status/2048981603276513715","Apr 28","Mau tau ga kenapa Kurs rupiah menguat jaman Megawati?

Karena privatisasi wkwk. Terutama","Indosat",".

Sebagai orang yang ngerasa BUMN ini tidak efisien, memang sepantasnya sebagian besarnya dijual saja.","36","https://x.com/mhuseinali/status/2048981603276513715/analytics","70K","","105","","","","","","","","",""
"https://x.com/fujisiroo","https://pbs.twimg.com/profile_images/2043818687975837696/PU__SwH4_normal.jpg","H Amachi","","@fujisiroo","·","https://x.com/fujisiroo/status/2048714835790274883","Apr 27","Guys, better use 
Indosat or Telkomsel?","Translated from Dutch","Show original","9","https://x.com/fujisiroo/status/2048714835790274883/analytics","332","","4","","","","","","","","",""
